Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests,WHO Region,Death_Rate
USA,North America,331198130.0,5032179,162804.0,2576668.0,2292707.0,63139605.0,Americas,3.2352585231964124
Brazil,South America,212710692.0,2917562,98644.0,2047660.0,771258.0,13206188.0,Americas,3.3810421166713853
India,Asia,1381344997.0,2025409,41638.0,1377384.0,606387.0,22149351.0,South-EastAsia,2.0557823135969078
Russia,Europe,145940924.0,871894,14606.0,676357.0,180931.0,29716907.0,Europe,1.675203637139377
South Africa,Africa,59381566.0,538184,9604.0,387316.0,141264.0,3149807.0,Africa,1.784519792487328
Mexico,North America,129066160.0,462690,50517.0,308848.0,103325.0,1056915.0,Americas,10.918109317253451
Peru,South America,33016319.0,455409,20424.0,310337.0,124648.0,2493429.0,Americas,4.484759853230832
Chile,South America,19132514.0,366671,9889.0,340168.0,16614.0,1760615.0,Americas,2.69696812674032
Colombia,South America,50936262.0,357710,11939.0,192355.0,153416.0,1801835.0,Americas,3.3376198596628557
Spain,Europe,46756648.0,354530,28500.0,,,7064329.0,Europe,8.038811948213127
Iran,Asia,84097623.0,320117,17976.0,277463.0,24678.0,2612763.0,EasternMediterranean,5.615446852244648
UK,Europe,67922029.0,308134,46413.0,,,17515234.0,Europe,15.06260263391901
Saudi Arabia,Asia,34865919.0,284226,3055.0,247089.0,34082.0,3635705.0,EasternMediterranean,1.0748488878568463
Pakistan,Asia,221295851.0,281863,6035.0,256058.0,19770.0,2058872.0,EasternMediterranean,2.1411111071690856
Bangladesh,Asia,164851401.0,249651,3306.0,143824.0,102521.0,1225124.0,South-EastAsia,1.3242486511169593
Italy,Europe,60452568.0,249204,35187.0,201323.0,12694.0,7099713.0,Europe,14.119757307266337
Turkey,Asia,84428331.0,237265,5798.0,220546.0,10921.0,5081802.0,Europe,2.443681116051672
Argentina,South America,45236884.0,228195,4251.0,99852.0,124092.0,794544.0,Americas,1.8628804312101492
Germany,Europe,83811260.0,215210,9252.0,196200.0,9758.0,8586648.0,Europe,4.299056735281818
France,Europe,65288306.0,195633,30312.0,82460.0,82861.0,3992206.0,Europe,15.494318443207433
Iraq,Asia,40306025.0,140603,5161.0,101025.0,34417.0,1092741.0,EasternMediterranean,3.6706186923465363
Philippines,Asia,109722719.0,119460,2150.0,66837.0,50473.0,1669996.0,WesternPacific,1.7997656119203083
Indonesia,Asia,273808365.0,118753,5521.0,75645.0,37587.0,1633156.0,South-EastAsia,4.649145705792695
Canada,North America,37775022.0,118561,8966.0,103106.0,6489.0,4319172.0,Americas,7.562351869501775
Qatar,Asia,2807805.0,112092,178.0,108831.0,3083.0,511000.0,EasternMediterranean,0.15879813010741178
Kazakhstan,Asia,18798667.0,95942,1058.0,68871.0,26013.0,2163713.0,Europe,1.1027495778699632
Egypt,Africa,102516525.0,95006,4951.0,48898.0,41157.0,135000.0,EasternMediterranean,5.211249815801107
Ecuador,South America,17668824.0,90537,5877.0,71318.0,13342.0,258582.0,Americas,6.4912687630471515
Bolivia,South America,11688459.0,86423,3465.0,27373.0,55585.0,183583.0,Americas,4.00934936301679
Sweden,Europe,10105596.0,81967,5766.0,,,863315.0,Europe,7.034538289799554
Oman,Asia,5118446.0,80713,492.0,70910.0,9311.0,309212.0,EasternMediterranean,0.6095672320444043
Israel,Asia,9197590.0,79559,576.0,53427.0,25556.0,1872453.0,Europe,0.7239910003896479
Ukraine,Europe,43705858.0,76808,1819.0,42524.0,32465.0,1116641.0,Europe,2.3682428913654827
Dominican Republic,North America,10858648.0,76536,1246.0,40539.0,34751.0,281926.0,Americas,1.6279920560259225
Panama,North America,4321282.0,71418,1574.0,45658.0,24186.0,240995.0,Americas,2.203926181074799
Belgium,Europe,11594739.0,71158,9859.0,17661.0,43638.0,1767120.0,Europe,13.855083054610867
Kuwait,Asia,4276658.0,70045,469.0,61610.0,7966.0,522200.0,EasternMediterranean,0.6695695624241559
Belarus,Europe,9449001.0,68503,580.0,63756.0,4167.0,1344303.0,Europe,0.8466782476679853
UAE,Asia,9902079.0,61845,354.0,55739.0,5752.0,5262658.0,EasternMediterranean,0.57239873878244
Romania,Europe,19224023.0,57895,2566.0,28992.0,26337.0,1319369.0,Europe,4.4321616719924
Netherlands,Europe,17138756.0,56982,6153.0,,,1079860.0,Europe,10.798146783194692
Singapore,Asia,5854932.0,54555,27.0,48031.0,6497.0,1474372.0,WesternPacific,0.049491339015672264
Guatemala,North America,17946899.0,54339,2119.0,42070.0,10150.0,172712.0,Americas,3.8995932939509377
Portugal,Europe,10193593.0,52061,1743.0,37840.0,12478.0,1705474.0,Europe,3.3479956205220796
Poland,Europe,37842302.0,49515,1774.0,35642.0,12099.0,2374686.0,Europe,3.582752701201656
Nigeria,Africa,206606300.0,45244,930.0,32430.0,11884.0,306894.0,Africa,2.055521174078331
Honduras,North America,9919704.0,45098,1423.0,6116.0,37559.0,109292.0,Americas,3.155350569870061
Bahrain,Asia,1706669.0,42889,156.0,39945.0,2788.0,876700.0,EasternMediterranean,0.36372962764345174
Japan,Asia,126435859.0,42263,1026.0,28877.0,12360.0,938739.0,WesternPacific,2.427655395972837
Armenia,Asia,2963811.0,39819,772.0,31556.0,7491.0,171600.0,Europe,1.938772947587835
Ghana,Africa,31133483.0,39642,199.0,36384.0,3059.0,405817.0,Africa,0.5019928358811362
Kyrgyzstan,Asia,6534479.0,38659,1447.0,30099.0,7113.0,267718.0,Europe,3.7429835225949977
Afghanistan,Asia,39009447.0,36896,1298.0,25840.0,9758.0,90396.0,EasternMediterranean,3.5179965307892456
Switzerland,Europe,8660952.0,36108,1985.0,31600.0,2523.0,822764.0,Europe,5.497396698792512
Algeria,Africa,43926079.0,33626,1273.0,23238.0,9115.0,,Africa,3.78576101825968
Azerbaijan,Asia,10148243.0,33247,479.0,29275.0,3493.0,766179.0,Europe,1.4407314945709386
Morocco,Africa,36953359.0,29644,449.0,20553.0,8642.0,1383816.0,EasternMediterranean,1.514640399406288
